Removed Pin From Net: NetName=5V Pin=C25-2
Removed Pin From Net: NetName=3.8V Pin=C29-2
Removed Pin From Net: NetName=5V Pin=C31-1
Removed Pin From Net: NetName=3.3V Pin=C35-2
Removed Pin From Net: NetName=3.3V Pin=C36-2
Removed Pin From Net: NetName=GND Pin=D9-2
Removed Pin From Net: NetName=GND Pin=D11-2
Removed Pin From Net: NetName=5V Pin=L3-2
Removed Pin From Net: NetName=IO34 Pin=P1-4
Removed Pin From Net: NetName=IO35 Pin=P1-5
Removed Pin From Net: NetName=IO32 Pin=P1-6
Removed Pin From Net: NetName=IO33 Pin=P1-7
Removed Pin From Net: NetName=IO25 Pin=P1-8
Removed Pin From Net: NetName=IO26 Pin=P1-9
Removed Pin From Net: NetName=IO27 Pin=P1-10
Removed Pin From Net: NetName=IO14 Pin=P1-11
Removed Pin From Net: NetName=IO12 Pin=P1-12
Removed Pin From Net: NetName=IO13 Pin=P1-13
Removed Pin From Net: NetName=IO23 Pin=P2-1
Removed Pin From Net: NetName=IO22 Pin=P2-2
Removed Pin From Net: NetName=SD2 Pin=P2-3
Removed Pin From Net: NetName=SD3 Pin=P2-4
Removed Pin From Net: NetName=IO21 Pin=P2-5
Removed Pin From Net: NetName=IO5 Pin=P2-8
Removed Pin From Net: NetName=SD0 Pin=P2-9
Removed Pin From Net: NetName=SD1 Pin=P2-10
Removed Pin From Net: NetName=IO4 Pin=P2-11
Removed Pin From Net: NetName=IO2 Pin=P2-12
Removed Pin From Net: NetName=IO15 Pin=P2-13
Removed Pin From Net: NetName=3.3V Pin=P2-15
Removed Pin From Net: NetName=5V Pin=R21-2
Removed Pin From Net: NetName=NetD9_1 Pin=R25-1
Removed Pin From Net: NetName=3.3V Pin=R25-2
Removed Pin From Net: NetName=3.8V Pin=R30-2
Removed Member From Class: ClassName=ESP_GSM_IOT Member=D11
Removed Member From Class: ClassName=ESP_GSM_IOT Member=R30
Change Component Footprint: Designator=C26 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C28 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C29 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C33 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C35 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=C36 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=R25 Old Footprint=0603 New Footprint=6-0805_N
Change Component Footprint: Designator=D2 Old Footprint=LED 0805_2012 RED New Footprint=LED 0805_2012 BLUE
Change Component Footprint: Designator=D9 Old Footprint=LED 0805_2012 RED New Footprint=LITEON LTV-817
Change Component Comment : Designator=D2 Old Comment= New Comment=Blue
Change Component Comment : Designator=D9 Old Comment=LED-RED New Comment=LTV-817S-TA1
Change Component Comment : Designator=R25 Old Comment=R510 New Comment=1K
Change Component Comment : Designator=R9 Old Comment=R510K New Comment=R510
Change component parameters: Designator = "R25" ("R25"); Footprint = "0603"; UniqueID = "\UIDCHZFB" ("\UIDCHZFB")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1K"; VariantName = "[No Variations]"
Change component parameters: Designator = "D9" ("D9"); Footprint = "LED 0805_2012 RED"; UniqueID = "\AHXOKYSX" ("\AHXOKYSX")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://optoelectronics.liteon.com/upload/download/DS-70-96-0016/LTV-8X7%20series%20201610%20.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/lite-on-inc/LTV-817S-TA1/160-1893-1-ND/3306757"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - DC Forward (If) (Max)"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Output / Channel"; Value = "50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Transfer Ratio (Max)"; Value = "600% @ 5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Transfer Ratio (Min)"; Value = "50% @ 5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "4-SMD, Gull Wing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Type"; Value = "DC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "12/01/2020 21:58:48"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Lite-On Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-30°C ~ 110°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Output Type"; Value = "Transistor"; VariantName = "[No Variations]"
